type,rank,name,country,score,startDate,competition,competition_short,url,season,gender
FS,9,Alexia PAGANINI,SUI,106.67,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,7,Nicole SCHOTT,GER,109.47,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,6,Nicole RAJICOVA,SVK,110.89,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,5,Loena HENDRICKX,BEL,121.78,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,39,Presiyana DIMITROVA,BUL,24.76,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,3,Maria SOTSKOVA,RUS,132.11,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,1,Alina ZAGITOVA,RUS,157.97,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,2,Dmitri ALIEV,RUS,91.33,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,M
SP,37,Antonina DUBININA,SRB,36.69,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,11,Micol CRISTINI,ITA,99.58,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,4,Carolina KOSTNER,ITA,125.95,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,19,Dasa GRM,SLO,89.91,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
